z xi(0) xi(1) xi(2) xi(3) xi(4) xi(5) xi(6) xi(7) xi(8) xi(9) xi(10)
2.4484 0.0922282 0.0381013 0.0127829 0.00711021 0.00472802 0.00331096 0.0021547 0.00176408 0.00145668 0.0025041 0.00333099
2.4521 0.0901785 0.037355 0.0124207 0.00671716 0.00445574 0.002888 0.00271461 0.00246973 0.00242921 0.00254393 0.00333148
2.4558 0.0913773 0.0386631 0.0126361 0.00712083 0.00495059 0.00369231 0.00232475 0.00254242 0.00208868 0.00284482 0.00388854
2.4595 0.0917496 0.0377761 0.0122388 0.00693221 0.00431739 0.00263604 0.00173106 0.00175692 0.00188838 0.00232974 0.00289608
2.4632 0.0912274 0.0376581 0.0121417 0.0067834 0.00399119 0.00259982 0.00177388 0.00202505 0.00168878 0.00230955 0.00341951
2.4669 0.0927196 0.0391752 0.0131786 0.00746563 0.00486049 0.00257971 0.0013174 0.00130166 0.00166199 0.00192816 0.00292695
2.4706 0.0916841 0.0386875 0.0127252 0.00694228 0.00449359 0.00313355 0.00235505 0.00215532 0.00126185 0.00151071 0.00296383
2.4743 0.0918537 0.0389541 0.0135839 0.0075317 0.00550497 0.0032915 0.00209939 0.00234382 0.00217411 0.0018596 0.00205655
2.478 0.0933063 0.0395609 0.0128479 0.00700502 0.0044822 0.00288725 0.00232468 0.00264823 0.0025109 0.00248402 0.00322447
2.4817 0.0923583 0.0381562 0.0123549 0.00661024 0.00421411 0.00314229 0.0023093 0.00242714 0.00235278 0.0020981 0.00257534
2.4854 0.0915501 0.0379787 0.0117554 0.00588869 0.00419919 0.00285393 0.00213322 0.00196238 0.00224624 0.00194283 0.00307861
2.4891 0.0941099 0.0391546 0.0123491 0.00635019 0.00451909 0.00264317 0.0019182 0.00248293 0.00298841 0.00300082 0.003943
2.4928 0.0942714 0.0370196 0.0122614 0.00616912 0.0043736 0.00340061 0.00240926 0.00226913 0.00240004 0.00263744 0.00335123
2.4965 0.094937 0.0396485 0.0130617 0.00733365 0.00510152 0.00289486 0.00223598 0.00176964 0.00122562 0.00178473 0.00272202
2.5002 0.0955557 0.0399151 0.0130869 0.00759071 0.00499836 0.00312603 0.00220521 0.0026921 0.0029963 0.00227791 0.00294953
2.5039 0.0961336 0.040922 0.013039 0.00768501 0.00465175 0.00300723 0.00259026 0.0017524 0.00200377 0.00225428 0.00290035
2.5076 0.095865 0.0396569 0.0133234 0.00743414 0.00513888 0.00323938 0.00217847 0.0020582 0.00233435 0.00215103 0.00316218
2.5113 0.0955667 0.0395978 0.0130007 0.00748441 0.00508892 0.00333143 0.00292275 0.00274735 0.00216991 0.00213951 0.00256693
2.515 0.0943593 0.0404037 0.0135739 0.00756357 0.00508592 0.00343754 0.00230983 0.00203646 0.00137695 0.00206636 0.00298277
2.5187 0.0970568 0.0414275 0.0141294 0.00789773 0.00468433 0.00367337 0.00253282 0.00194258 0.002026 0.00263618 0.00343137
2.5224 0.097243 0.0405244 0.0124924 0.00673713 0.00472199 0.00314552 0.00281316 0.00238809 0.00321176 0.00291693 0.00368055
2.5261 0.0968742 0.0410204 0.0135103 0.00720435 0.00469795 0.00342745 0.00265054 0.00191405 0.00163669 0.00191691 0.00339062
2.5298 0.0967315 0.0409002 0.0129316 0.00719276 0.00483491 0.00347196 0.00280312 0.00223047 0.00132012 0.00170154 0.00267325
2.5335 0.0973093 0.0401849 0.0127282 0.00701544 0.00468347 0.00339066 0.0028584 0.00345846 0.00236847 0.00145652 0.00291885
2.5372 0.0967279 0.0412447 0.0129508 0.006455 0.00392869 0.00263114 0.00193147 0.00237945 0.00262831 0.00257352 0.00342538
2.5409 0.0971833 0.0402253 0.0125072 0.00722955 0.00426979 0.00331384 0.00261458 0.00261319 0.00166337 0.002304 0.00323155
